id,userID,gameSessionID,gameType,time
3666,51258742,5,numberGame,2022-02-25 20:43:03+00:00
3665,649772868,6,numberGame,2022-02-25 20:01:44+00:00
3664,51258742,4,numberGame,2022-02-25 12:00:28+00:00
3663,3979696,7,numberGame,2022-02-25 15:32:39+00:00
3662,39005574,8,numberGame,2022-02-25 11:33:40+00:00
3661,3979696,6,numberGame,2022-02-25 12:43:43+00:00
3660,51258742,4,numberGame,2022-02-25 12:00:28+00:00
3659,39005574,8,numberGame,2022-02-25 11:33:40+00:00
3658,2085617431,2,numberGame,2022-02-25 11:10:37+00:00
3657,2085617431,1,numberGame,2022-02-25 11:10:18+00:00
3656,39005574,7,numberGame,2022-02-25 08:45:05+00:00
3655,39005574,6,numberGame,2022-02-25 08:43:14+00:00
3654,39005574,5,numberGame,2022-02-25 08:30:30+00:00
3653,39005574,4,numberGame,2022-02-24 13:31:27+00:00
3652,39005574,3,numberGame,2022-02-24 08:38:07+00:00
3651,649772868,5,numberGame,2022-02-25 07:30:24+00:00
3650,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3649,628825449,8,numberGame,2021-12-22 21:32:42+00:00
3648,51258742,3,numberGame,2022-02-24 22:11:04+00:00
3647,649772868,4,numberGame,2022-02-24 16:21:17+00:00
3646,39005574,3,numberGame,2022-02-24 08:38:07+00:00
3645,3979696,5,numberGame,2022-02-24 12:44:19+00:00
3644,51258742,2,numberGame,2022-02-24 09:07:05+00:00
3643,39005574,3,numberGame,2022-02-24 08:38:07+00:00
3642,3979696,4,numberGame,2022-02-24 08:35:54+00:00
3641,649772868,3,numberGame,2022-02-24 07:30:32+00:00
